,tru_126,tru_127N,tru_127C,tru_128N,tru_128C,tru_129N,tru_129C,tru_130N,tru_130C,tru_131N,tru_131C,tru_132N,tru_132C,tru_133N,tru_133C,tru_134N
obs_126,1,0.0078,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0
obs_127N,0,1,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0
obs_127C,0.0909,0,1,0,0.0144,0,0,0,0,0,0,0,0,0,0,0
obs_128N,0,0.0941,0,1,0,0.013,0,0,0,0,0,0,0,0,0,0
obs_128C,0,0,0.084,0,1,0,0.0259,0,0,0,0,0,0,0,0,0
obs_129N,0,0,0,0.0813,0,1,0,0.0241,0,0,0,0,0,0,0,0
obs_129C,0,0,0,0,0.0626,0,1,0,0.0322,0,0,0,0,0,0,0
obs_130N,0,0,0,0,0,0.0752,0,1,0,0.0278,0,0,0,0,0,0
obs_130C,0,0,0,0,0,0,0.0607,0,1,0,0.0394,0,0,0,0,0
obs_131N,0,0,0,0,0,0,0,0.0558,0,1,0,0.0314,0,0,0,0
obs_131C,0,0,0,0,0,0,0,0,0.0506,0,1,0,0.0365,0,0,0
obs_132N,0,0,0,0,0,0,0,0,0,0.0457,0,1,0,0.0358,0,0
obs_132C,0,0,0,0,0,0,0,0,0,0,0.0333,0,1,0,0.0496,0
obs_133N,0,0,0,0,0,0,0,0,0,0,0,0.034,0,1,0,0.0549
obs_133C,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,1,0
obs_134N,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,1
